stop_id,stop_name,stop_name_new,stop_short_name,stop_lat,stop_lon,operational_status,areas,region_id,region_name,district_id,district_name,municipality_id,municipality_name,parish_id,parish_name,locality,jurisdiction,stop_code,tts_stop_name,platform_code,parent_station,location_type,stop_url,has_pole,has_cover,has_shelter,shelter_code,shelter_maintainer,has_mupi,has_bench,has_trash_bin,has_lighting,has_electricity,docking_bay_type,last_infrastructure_maintenance,last_infrastructure_check,has_flag,flag_maintainer,has_pip_static,has_pip_audio,pip_audio_code,has_pip_realtime,pip_realtime_code,has_h2oa_signage,has_schedules,has_tactile_schedules,has_network_map,last_schedules_maintenance,last_schedules_check,last_flag_maintenance,last_flag_check,has_sidewalk,sidewalk_type,has_crossing,has_flat_access,has_wide_access,has_tactile_access,has_abusive_parking,wheelchair_boarding,last_accessibility_maintenance,last_accessibility_check,near_health_clinic,near_hospital,near_university,near_school,near_police_station,near_fire_station,near_shopping,near_historic_building,near_transit_office,near_beach,subway,light_rail,train,boat,airport,bike_sharing,bike_parking,car_parking
120285,Av Tomás Ribeiro (X) Sant N Sra Rocha,a definir,a definir,38.720735,-9.250854,ACTIVE,41,PT170,AML,11,Lisboa,1110,Oeiras,,,Oeiras,,120285,Cruzamento Entre ( Avenida Tomás Ribeiro ) E Sant Nossa Senhora Rocha,,,0,https://www.carrismetropolitana.pt/stops/120285,0,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120286,Av Tomás Ribeiro (X) Sant N Sra Rocha,a definir,a definir,38.720707,-9.250737,ACTIVE,41,PT170,AML,11,Lisboa,1110,Oeiras,,,Oeiras,,120286,Cruzamento Entre ( Avenida Tomás Ribeiro ) E Sant Nossa Senhora Rocha,,,0,https://www.carrismetropolitana.pt/stops/120286,0,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120287,Av Tomás Ribeiro 82,a definir,a definir,38.717509,-9.252359,ACTIVE,41,PT170,AML,11,Lisboa,1110,Oeiras,,,Oeiras,,120287,Avenida Tomás Ribeiro 82,,,0,https://www.carrismetropolitana.pt/stops/120287,0,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120288,Av Tomás Ribeiro 82,a definir,a definir,38.717430,-9.252296,ACTIVE,41,PT170,AML,11,Lisboa,1110,Oeiras,,,Oeiras,,120288,Avenida Tomás Ribeiro 82,,,0,https://www.carrismetropolitana.pt/stops/120288,0,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120289,Av Tomás Ribeiro (X) Tv Godinho,a definir,a definir,38.715998,-9.254038,ACTIVE,41,PT170,AML,11,Lisboa,1110,Oeiras,,,Oeiras,,120289,Cruzamento Entre ( Avenida Tomás Ribeiro ) E Travessa Godinho,,,0,https://www.carrismetropolitana.pt/stops/120289,0,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120290,Av Tomás Ribeiro (X) Tv Godinho,a definir,a definir,38.716036,-9.253846,ACTIVE,41,PT170,AML,11,Lisboa,1110,Oeiras,,,Oeiras,,120290,Cruzamento Entre ( Avenida Tomás Ribeiro ) E Travessa Godinho,,,0,https://www.carrismetropolitana.pt/stops/120290,0,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120291,Av Tomás Ribeiro (X) Visconde m rey,a definir,a definir,38.714789,-9.256263,ACTIVE,41,PT170,AML,11,Lisboa,1110,Oeiras,,,Oeiras,,120291,Cruzamento Entre ( Avenida Tomás Ribeiro ) E Visconde M Rey,,,0,https://www.carrismetropolitana.pt/stops/120291,0,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120292,Av Tomás Ribeiro (X) Beco dos Mouros,a definir,a definir,38.714581,-9.256510,ACTIVE,41,PT170,AML,11,Lisboa,1110,Oeiras,,,Oeiras,,120292,Cruzamento Entre ( Avenida Tomás Ribeiro ) E Beco Dos Mouros,,,0,https://www.carrismetropolitana.pt/stops/120292,0,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120293,Av Tomás Ribeiro (Rot Queijas),a definir,a definir,38.715626,-9.262791,ACTIVE,41,PT170,AML,11,Lisboa,1110,Oeiras,,,Oeiras,,120293,Avenida Tomás Ribeiro ( Rotunda Queijâs ),,,0,https://www.carrismetropolitana.pt/stops/120293,0,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120295,R João XXI 10,a definir,a definir,38.717597,-9.263256,ACTIVE,41,PT170,AML,11,Lisboa,1110,Oeiras,,,Oeiras,,120295,Rua João Vinte Um 10,,,0,https://www.carrismetropolitana.pt/stops/120295,0,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120296,R João XXI 1,a definir,a definir,38.717532,-9.263398,ACTIVE,41,PT170,AML,11,Lisboa,1110,Oeiras,,,Oeiras,,120296,Rua João Vinte Um - Um,,,0,https://www.carrismetropolitana.pt/stops/120296,0,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120297,R João XXI (Igreja),a definir,a definir,38.719079,-9.263025,ACTIVE,41,PT170,AML,11,Lisboa,1110,Oeiras,,,Oeiras,,120297,Rua João Vinte Um ( Igreja ),,,0,https://www.carrismetropolitana.pt/stops/120297,0,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120299,R Mouzinho Silveira 25,a definir,a definir,38.722013,-9.263508,ACTIVE,41,PT170,AML,11,Lisboa,1110,Oeiras,,,Oeiras,,120299,Rua Mouzinho Silveira 25,,,0,https://www.carrismetropolitana.pt/stops/120299,0,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120303,R Açores 32,a definir,a definir,38.723270,-9.266329,ACTIVE,41,PT170,AML,11,Lisboa,1110,Oeiras,,,Oeiras,,120303,Rua Açores 32,,,0,https://www.carrismetropolitana.pt/stops/120303,0,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
